  [publish canopy30] 80N_160E_r2c1/2020  16552/16705  5713.6s
  [publish canopy30] 80N_160E_r2c2  16554/16705  5714.0s
  [publish canopy30] 80N_160E_r2c2/2020  16556/16705  5714.6s
  [publish canopy30] 80N_160E_r2c3  16558/16705  5714.9s
  [publish canopy30] 80N_160E_r2c3/2020  16560/16705  5715.5s
  [publish canopy30] 80N_160E_r3c0  16562/16705  5715.9s
  [publish canopy30] 80N_160E_r3c0/2020  16564/16705  5716.5s
  [publish canopy30] 80N_160E_r3c1  16566/16705  5717.0s
  [publish canopy30] 80N_160E_r3c1/2020  16568/16705  5717.5s
  [publish canopy30] 80N_160E_r3c2  16570/16705  5717.8s
  [publish canopy30] 80N_160E_r3c2/2020  16572/16705  5718.3s
  [publish canopy30] 80N_160E_r3c3  16574/16705  5718.7s
  [publish canopy30] 80N_160E_r3c3/2020  16576/16705  5719.2s
  [publish canopy30] 80N_160W_r0c0  16578/16705  5719.6s
  [publish canopy30] 80N_160W_r0c0/2020  16580/16705  5720.1s
  [publish canopy30] 80N_160W_r0c1  16582/16705  5720.5s
  [publish canopy30] 80N_160W_r0c1/2020  16584/16705  5721.1s
  [publish canopy30] 80N_160W_r0c2  16586/16705  5721.5s
  [publish canopy30] 80N_160W_r0c2/2020  16588/16705  5722.0s
  [publish canopy30] 80N_160W_r0c3  16590/16705  5722.5s
  [publish canopy30] 80N_160W_r0c3/2020  16592/16705  5723.0s
  [publish canopy30] 80N_160W_r1c0  16594/16705  5723.4s
  [publish canopy30] 80N_160W_r1c0/2020  16596/16705  5723.9s
  [publish canopy30] 80N_160W_r1c1  16598/16705  5724.3s
  [publish canopy30] 80N_160W_r1c1/2020  16600/16705  5724.8s
  [publish canopy30] 80N_160W_r1c2  16602/16705  5725.2s
  [publish canopy30] 80N_160W_r1c2/2020  16604/16705  5725.7s
  [publish canopy30] 80N_160W_r1c3  16606/16705  5726.1s
  [publish canopy30] 80N_160W_r1c3/2020  16608/16705  5726.5s
  [publish canopy30] 80N_160W_r2c0  16610/16705  5726.9s
  [publish canopy30] 80N_160W_r2c0/2020  16612/16705  5727.4s
  [publish canopy30] 80N_160W_r2c1  16614/16705  5727.8s
  [publish canopy30] 80N_160W_r2c1/2020  16616/16705  5728.3s
  [publish canopy30] 80N_160W_r2c2  16618/16705  5728.9s
  [publish canopy30] 80N_160W_r2c2/2020  16620/16705  5729.5s
  [publish canopy30] 80N_160W_r2c3  16622/16705  5729.9s
  [publish canopy30] 80N_160W_r2c3/2020  16624/16705  5730.5s
  [publish canopy30] 80N_160W_r3c0  16626/16705  5730.8s
  [publish canopy30] 80N_160W_r3c0/2020  16628/16705  5731.3s
  [publish canopy30] 80N_160W_r3c1  16630/16705  5731.8s
  [publish canopy30] 80N_160W_r3c1/2020  16632/16705  5732.2s
  [publish canopy30] 80N_160W_r3c2  16634/16705  5732.6s
  [publish canopy30] 80N_160W_r3c2/2020  16636/16705  5733.1s
  [publish canopy30] 80N_160W_r3c3  16638/16705  5733.5s
  [publish canopy30] 80N_160W_r3c3/2020  16640/16705  5733.9s
  [publish canopy30] 80N_170W_r0c0  16642/16705  5734.3s
  [publish canopy30] 80N_170W_r0c0/2020  16644/16705  5734.8s
  [publish canopy30] 80N_170W_r0c1  16646/16705  5735.2s
  [publish canopy30] 80N_170W_r0c1/2020  16648/16705  5735.6s
  [publish canopy30] 80N_170W_r0c2  16650/16705  5736.0s
  [publish canopy30] 80N_170W_r0c2/2020  16652/16705  5736.4s
  [publish canopy30] 80N_170W_r0c3  16654/16705  5736.9s
  [publish canopy30] 80N_170W_r0c3/2020  16656/16705  5737.3s
  [publish canopy30] 80N_170W_r1c0  16658/16705  5737.7s
  [publish canopy30] 80N_170W_r1c0/2020  16660/16705  5738.2s
  [publish canopy30] 80N_170W_r1c1  16662/16705  5738.6s
  [publish canopy30] 80N_170W_r1c1/2020  16664/16705  5739.0s
  [publish canopy30] 80N_170W_r1c2  16666/16705  5739.3s
  [publish canopy30] 80N_170W_r1c2/2020  16668/16705  5739.8s
  [publish canopy30] 80N_170W_r1c3  16670/16705  5740.2s
  [publish canopy30] 80N_170W_r1c3/2020  16672/16705  5740.8s
  [publish canopy30] 80N_170W_r2c0  16674/16705  5741.1s
  [publish canopy30] 80N_170W_r2c0/2020  16676/16705  5741.6s
  [publish canopy30] 80N_170W_r2c1  16678/16705  5742.0s
  [publish canopy30] 80N_170W_r2c1/2020  16680/16705  5742.5s
  [publish canopy30] 80N_170W_r2c2  16682/16705  5742.9s
  [publish canopy30] 80N_170W_r2c2/2020  16684/16705  5743.4s
  [publish canopy30] 80N_170W_r2c3  16686/16705  5743.7s
  [publish canopy30] 80N_170W_r2c3/2020  16688/16705  5744.1s
  [publish canopy30] 80N_170W_r3c0  16690/16705  5744.5s
  [publish canopy30] 80N_170W_r3c0/2020  16692/16705  5744.9s
  [publish canopy30] 80N_170W_r3c1  16694/16705  5745.3s
  [publish canopy30] 80N_170W_r3c1/2020  16696/16705  5745.8s
  [publish canopy30] 80N_170W_r3c2  16698/16705  5746.2s
  [publish canopy30] 80N_170W_r3c2/2020  16700/16705  5746.7s
  [publish canopy30] 80N_170W_r3c3  16702/16705  5747.2s
  [publish canopy30] 80N_170W_r3c3/2020  16704/16705  5747.8s
  [publish canopy30] store.json  16705/16705  5748.5s
  publish: 16705 file(s) verified by restore, 50 tile(s) decompressed, HTTP range {'checked': 5} -> https://huggingface.co/datasets/chfrank/earth-tensors/tree/main/tensors/family1_tf/canopy30
=== stage publish done in 5808.7s ===
